Indicator Name,Code,Source
GDP,MAP_WEO_NGDP,IMF
Real GDP Growth,MAP_WEO_GDPG,IMF
GDP Per Capita at PPP,MAP_WEO_GDPPPPPC,IMF
Unemployment Rate,MAP_WEO_UNEMP,IMF
Inflation Rate,MAP_IFS_CPRA,IMF
Agriculture as Share of GDP,NV_AGR_TOTL_ZS,WORLDBANK
Industry as Share of GDP,NV_IND_TOTL_ZS,WORLDBANK
Services as Share of GDP,NV_SRV_TETC_ZS,WORLDBANK
Imports as Share of GDP,MAP_BOP_IMPGSPG,IMF
Exports as Share of GDP,MAP_BOP_EXPGSPG,IMF
Population,MAP_WEO_POP,IMF
Labour Force,LE,IMF
Unemployment Rate,MAP_WEO_UNEMP,IMF
Agriculture Share of Employment,SL_AGR_EMPL_ZS,WORLDBANK
Industry Share of Employment,SL_IND_EMPL_ZS,WORLDBANK
Services Share of Employment,SL_SRV_EMPL_ZS,WORLDBANK
Stock Market Index,DSTKMKTXD,WORLDBANK
Stock Market Capitalization,CM_MKT_LCAP_CD,WORLDBANK
Revenues,GGR_NGDP,IMF
Spending,GGX_NGDP,IMF
Surplus or Deficit,GGXONLB_NGDP,IMF
Net Debt,GGXWDN_NGDP,IMF
Armed Forces Personnel,MS_MIL_TOTL_TF_ZS,WORLDBANK
Military Expenditures,MS_MIL_XPND_GD_ZS,WORLDBANK
Commercial Tax Rate,IC_TAX_TOTL_CP_ZS,WORLDBANK
Female Population,SP_POP_TOTL_FE_ZS,WORLDBANK
Rural Population,SP_RUR_TOTL_ZS,WORLDBANK
Urban Population,SP_URB_TOTL_IN_ZS,WORLDBANK
Population Below Age 15,SP_POP_0014_TO_ZS,WORLDBANK
Population Aged 15 to 64,SP_POP_1564_TO_ZS,WORLDBANK
Population Above Age 64,SP_POP_65UP_TO_ZS,WORLDBANK
Population Density,EN_POP_DNST,WORLDBANK
Population Growth Rate,SP_POP_GROW,WORLDBANK
Fertility Rate,SP_DYN_TFRT_IN,WORLDBANK
Child Mortality,SH_DYN_MORT,WORLDBANK
Life Expectancy at Birth,SP_DYN_LE00_IN,WORLDBANK
Deaths From Disease and Nutrition,SH_DTH_COMM_ZS,WORLDBANK
Deaths From Injury and Accident,SH_DTH_INJR_ZS,WORLDBANK
Deaths From Non-Communicable Diseases,SH_DTH_NCOM_ZS,WORLDBANK
Low Birth-Weight Babies,SH_STA_BRTW_ZS,WORLDBANK
Under-Nourished People,SN_ITK_DEFC,WORLDBANK
Adults Living with HIV,SH_DYN_AIDS,WORLDBANK
Nurses per 1000 People,SH_MED_NURS_P3,WORLDBANK
Health Expenditure Per Capita,SH_XPD_PCAP_PP_KD,WORLDBANK
Adult Literacy Rate,SE_ADT_LITR_ZS,WORLDBANK
Youth Literacy Rate,SE_ADT_1524_LT_ZS,WORLDBANK
Female-Male Literacy Ratio,SE_ADT_1524_LT_FM_ZS,WORLDBANK
Primary Enrolment Rate,SE_PRM_ENRR,WORLDBANK
Secondary Enrolment Rate,SE_SEC_ENRR,WORLDBANK
Tertiary Enrolment Rate,SE_TER_ENRR,WORLDBANK
Gini Index,SI_POV_GINI,WORLDBANK
Human Development Index,UNDP_HDI_XD,WORLDBANK
Population Living with Less than Five Dollars a Day,SI_POV_5DAY,WORLDBANK
Urban Population in Slums,EN_POP_SLUM_UR_ZS,WORLDBANK
Access to Improved Water Sources,SH_H2O_SAFE_ZS,WORLDBANK
Access to Improved Sanitation Facilities,SH_STA_ACSN,WORLDBANK
Household Electrification Rate,EG_ELC_HOUS_ZS,WORLDBANK
Population Affected by Droughts or Floods,EN_CLC_MDAT_ZS,WORLDBANK
CO2 Emissions,EN_ATM_CO2E_KT,WORLDBANK
Methane Emissions,EN_ATM_METH_KT_CE,WORLDBANK
Cell Phone Subscribers,IT_CEL_SETS_P2,WORLDBANK
Internet Users,IT_NET_USER_P2,WORLDBANK
Passenger Vehicles,IS_VEH_PCAR_P3,WORLDBANK
Households with a Personal Computer,IT_PC_HOUS_ZS,WORLDBANK
Households with a Telephone,IT_TEL_HOUS_ZS,WORLDBANK
Households with a Radio,IT_RAD_HOUS_ZS,WORLDBANK
International Tourism Arrivals,ST_INT_ARVL,WORLDBANK
Net Generation,EIA_TOTALELECTRICITYNETGENERATION_A_,DOE
Net Consumption,EIA_TOTALELECTRICITYNETCONSUMPTION_A_,DOE
Imports,EIA_TOTALELECTRICITYIMPORTS_A_,DOE
Exports,EIA_TOTALELECTRICITYEXPORTS_A_,DOE
Gross Production Public & Self-producer,ELECTRICITYGROSSPRODUCTIONPUBLICSELFPRODUCER,UN
Total Production Public,ELECTRICITYTOTALPRODUCTIONPUBLIC,UN
Total Production Self-producer,ELECTRICITYTOTALPRODUCTIONSELFPRODUCER,UN
Gross Inland Availability,ELECTRICITYGROSSINLANDAVAILABILITY,UN
