Indicator Name,Code,Source
Pre-Primary education (ISCED 0) Theoretical Entry Age,UIS_PREPRIMARYEDUCATIONISCED0THEORETICALENTRYAGE_,UN
Primary education (ISCED 1) Theoretical Entry Age,UIS_PRIMARYEDUCATIONISCED1THEORETICALENTRYAGE_,UN
Lower Secondary education Theoretical Entry Age,UIS_LOWERSECONDARYEDUCATIONTHEORETICALENTRYAGE_,UN
Upper Secondary education Theoretical Entry Age,UIS_UPPERSECONDARYEDUCATIONTHEORETICALENTRYAGE_,UN
Theoretical Entry Age ISCED 4 post secondary non-tertiary,UIS_THEORETICALENTRYAGEISCED4POSTSECONDARYNONTERTIARY_,UN
re-Primary education (ISCED 0) Theoretical Duration,UIS_REPRIMARYEDUCATIONISCED0THEORETICALDURATION_,UN
Primary education (ISCED 1) Theoretical Duration,UIS_PRIMARYEDUCATIONISCED1THEORETICALDURATION_,UN
Lower Secondary education Theoretical Duration,UIS_LOWERSECONDARYEDUCATIONTHEORETICALDURATION_,UN
Upper Secondary education Theoretical Duration,UIS_UPPERSECONDARYEDUCATIONTHEORETICALDURATION_,UN
Theoretical duration ISCED 4 post secondary non-tertiary,UIS_THEORETICALDURATIONISCED4POSTSECONDARYNONTERTIARY_,UN
Pre-Primary education (ISCED 0) School-age population,UIS_PREPRIMARYEDUCATIONISCED0SCHOOLAGEPOPULATION__ALLGENDERS,UN
Primary education (ISCED 1) School-age population,UIS_PRIMARYEDUCATIONISCED1SCHOOLAGEPOPULATION__ALLGENDERS,UN
Official entrance age School age population,UIS_OFFICIALENTRANCEAGESCHOOLAGEPOPULATION__ALLGENDERS,UN
Last Grade Primary School age population,UIS_LASTGRADEPRIMARYSCHOOLAGEPOPULATION__ALLGENDERS,UN
Lower Secondary School age population,UIS_LOWERSECONDARYSCHOOLAGEPOPULATION__ALLGENDERS,UN
Upper Secondary School age population,UIS_UPPERSECONDARYSCHOOLAGEPOPULATION__ALLGENDERS,UN
Secondary School age population,UIS_SECONDARYSCHOOLAGEPOPULATION__ALLGENDERS,UN
Post-Secondary School age population,UIS_POSTSECONDARYSCHOOLAGEPOPULATION__ALLGENDERS,UN
Tertiary School age population,UIS_TERTIARYSCHOOLAGEPOPULATION__ALLGENDERS,UN
Pre-Primary education (ISCED 0) Enrolment,UIS_PREPRIMARYEDUCATIONISCED0ENROLMENT__ALLGENDERS,UN
Primary education (ISCED 1) Enrolment,UIS_PRIMARYEDUCATIONISCED1ENROLMENT__ALLGENDERS,UN
Lower Secondary education enrolment in all programmes,UIS_LOWERSECONDARYEDUCATIONENROLMENTINALLPROGRAMMES__ALLGENDERS,UN
Upper Secondary education enrolment in all programmes,UIS_UPPERSECONDARYEDUCATIONENROLMENTINALLPROGRAMMES__ALLGENDERS,UN
Total Secondary education enrolment in all programmes,UIS_TOTALSECONDARYEDUCATIONENROLMENTINALLPROGRAMMES__ALLGENDERS,UN
