Indicator Name,Code,Source
Net Generation,EIA_TOTALELECTRICITYNETGENERATION_A_,DOE
Net Consumption,EIA_TOTALELECTRICITYNETCONSUMPTION_A_,DOE
Imports,EIA_TOTALELECTRICITYIMPORTS_A_,DOE
Exports,EIA_TOTALELECTRICITYEXPORTS_A_,DOE
Gross Production Public & Self-producer,ELECTRICITYGROSSPRODUCTIONPUBLICSELFPRODUCER,UN
&emsp;Total Production Public,ELECTRICITYTOTALPRODUCTIONPUBLIC,UN
&emsp;Total Production Self-producer,ELECTRICITYTOTALPRODUCTIONSELFPRODUCER,UN
Gross Inland Availability,ELECTRICITYGROSSINLANDAVAILABILITY,UN
Briquetting Plants,ELECTRICITYCONSUMPTIONBYBRIQUETTINGPLANTS,UN
Chemical Industry,ELECTRICITYCONSUMPTIONBYCHEMICALINDUSTRY,UN
Coke Ovens,ELECTRICITYCONSUMPTIONBYCOKEOVENS,UN
Crude Petroleum Fields,ELECTRICITYCONSUMPTIONBYCRUDEPETROLEUMFIELDS,UN
Energy Sector,ELECTRICITYCONSUMPTIONBYENERGYSECTOR,UN
Gasworks,ELECTRICITYCONSUMPTIONBYGASWORKS,UN
Households,ELECTRICITYCONSUMPTIONBYHOUSEHOLDS,UN
Households And Other Consumers,ELECTRICITYCONSUMPTIONBYHOUSEHOLDSANDOTHERCONSUMERS,UN
Industry & Construction,ELECTRICITYCONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Iron And Steel Industry,ELECTRICITYCONSUMPTIONBYIRONANDSTEELINDUSTRY,UN
Mining Industry (energy Commodities),ELECTRICITYCONSUMPTIONBYMININGINDUSTRYENERGYCOMMODITIES,UN
Other Consumers,ELECTRICITYCONSUMPTIONBYOTHERCONSUMERS,UN
Other Energy Producers,ELECTRICITYCONSUMPTIONBYOTHERENERGYPRODUCERS,UN
Other Industries And Construction,ELECTRICITYCONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
Other Transportation,ELECTRICITYCONSUMPTIONBYOTHERTRANSPORTATION,UN
Petroleum Refineries,ELECTRICITYCONSUMPTIONBYPETROLEUMREFINERIES,UN
Public Lighting,ELECTRICITYCONSUMPTIONBYPUBLICLIGHTING,UN
Pump-storage Plants,ELECTRICITYCONSUMPTIONBYPUMPSTORAGEPLANTS,UN
Transportation Industry,ELECTRICITYCONSUMPTIONBYTRANSPORTATIONINDUSTRY,UN
Agriculture,ELECTRICITYCONSUMPTIONINAGRICULTURE,UN
Rail Transport,ELECTRICITYCONSUMPTIONINRAILTRANSPORT,UN
Public Solar,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSPUBLICSOLAR,UN
Public Geothermal,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSPUBLICGEOTHERMAL,UN
Public Hydro,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSPUBLICHYDRO,UN
Public Nuclear,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSPUBLICNUCLEAR,UN
Public Thermal,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSPUBLICTHERMAL,UN
Public Wind,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSPUBLICWIND,UN
Self-producer Hydro,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSSELFPRODUCERHYDRO,UN
Self-producer Solar,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSSELFPRODUCERSOLAR,UN
Self-producer Thermal,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSSELFPRODUCERTHERMAL,UN
Self-producer Wind,ELECTRICITYNETINSTALLEDCAPACITYOFELECTRICPOWERPLANTSSELFPRODUCERWIND,UN
Nuclear,ELECTRICITYTOTALNUCLEARPRODUCTION,UN
Solar,ELECTRICITYTOTALSOLARPRODUCTION,UN
Thermal,ELECTRICITYTOTALTHERMALPRODUCTION,UN
Tidal Wave,ELECTRICITYTOTALTIDEWAVEPRODUCTION,UN
Wind,ELECTRICITYTOTALWINDPRODUCTION,UN
Biofuels,EIA_TOTALBIOFUELSPRODUCTION_A_,DOE
Alcohol,ALCOHOLIMPORTS,UN
Aviation Gasolene,AVIATIONGASOLENEIMPORTS,UN
Biodiesel,BIODIESELIMPORTS,UN
Bitumen Asphalt,BITUMENASPHALTIMPORTS,UN
Charcoal,CHARCOALIMPORTS,UN
Coal,EIA_TOTALCOALIMPORTS_A_,DOE
Coke-oven Coke,COKEOVENCOKEIMPORTS,UN
Crude Petroleum,CRUDEPETROLEUMIMPORTS,UN
Dry Natural Gas,EIA_IMPORTSOFDRYNATURALGAS_A_,DOE
Electricity,ELECTRICITYIMPORTS,UN
Feedstocks,FEEDSTOCKSIMPORTS,UN
Fuelwood,FUELWOODIMPORTS,UN
Gas-diesel Oils,GASDIESELOILSIMPORTS,UN
Jet Fuel,JETFUELIMPORTS,UN
Kerosene,KEROSENEIMPORTS,UN
Lignite Brown Coal,LIGNITEBROWNCOALIMPORTS,UN
Lignite-brown Coal Briquettes,LIGNITEBROWNCOALBRIQUETTESIMPORTS,UN
Liquefied Petroleum Gas (lpg),LIQUEFIEDPETROLEUMGASLPGIMPORTS,UN
Lubricants,LUBRICANTSIMPORTS,UN
Motor Gasolene,MOTORGASOLENEIMPORTS,UN
Naphtha,NAPHTHAIMPORTS,UN
Natural Gas (including Lng),NATURALGASINCLUDINGLNGIMPORTS,UN
Other Petroleum Products,OTHERPETROLEUMPRODUCTSIMPORTS,UN
Petroleum Coke,PETROLEUMCOKEIMPORTS,UN
Petroleum Waxes,PETROLEUMWAXESIMPORTS,UN
Residual Fuel Oil,RESIDUALFUELOILIMPORTS,UN
White Spirit/industrial Spirit,WHITESPIRITINDUSTRIALSPIRITIMPORTS,UN
Alcohol,ALCOHOLEXPORTS,UN
Aviation Gasolene,AVIATIONGASOLENEEXPORTS,UN
Biodiesel,BIODIESELEXPORTS,UN
Bitumen Asphalt,BITUMENASPHALTEXPORTS,UN
Charcoal,CHARCOALEXPORTS,UN
Coal,EIA_TOTALCOALEXPORTS_A_,DOE
Coke-oven Coke,COKEOVENCOKEEXPORTS,UN
Crude Petroleum,CRUDEPETROLEUMEXPORTS,UN
Dry Natural Gas,EIA_EXPORTSOFDRYNATURALGAS_A_,DOE
Electricity,ELECTRICITYEXPORTS,UN
Feedstocks,FEEDSTOCKSEXPORTS,UN
Fuelwood,FUELWOODEXPORTS,UN
Gas-diesel Oils,GASDIESELOILSEXPORTS,UN
Jet Fuel,JETFUELEXPORTS,UN
Kerosene,KEROSENEEXPORTS,UN
Lignite Brown Coal,LIGNITEBROWNCOALEXPORTS,UN
Liquefied Petroleum Gas (lpg),LIQUEFIEDPETROLEUMGASLPGEXPORTS,UN
Lubricants,LUBRICANTSEXPORTS,UN
Motor Gasolene,MOTORGASOLENEEXPORTS,UN
Naphtha,NAPHTHAEXPORTS,UN
Natural Gas (including Lng),NATURALGASINCLUDINGLNGEXPORTS,UN
Natural Gas Liquids (ngl) N.e.s.,NATURALGASLIQUIDSNGLNESEXPORTS,UN
Other Petroleum Products,OTHERPETROLEUMPRODUCTSEXPORTS,UN
Petroleum Coke,PETROLEUMCOKEEXPORTS,UN
Petroleum Waxes,PETROLEUMWAXESEXPORTS,UN
Residual Fuel Oil,RESIDUALFUELOILEXPORTS,UN
White Spirit/industrial Spirit,WHITESPIRITINDUSTRIALSPIRITEXPORTS,UN
Total Production,AVIATIONGASOLENETOTALPRODUCTION,UN
Production From Refineries,AVIATIONGASOLENEPRODUCTIONFROMREFINERIES,UN
Changes In Stocks,AVIATIONGASOLENECHANGESINSTOCKS,UN
Consumption By Transportation Industry,AVIATIONGASOLENECONSUMPTIONBYTRANSPORTATIONINDUSTRY,UN
Consumption In Air Transport,AVIATIONGASOLENECONSUMPTIONINAIRTRANSPORT,UN
Gross Inland Availability,AVIATIONGASOLENEGROSSINLANDAVAILABILITY,UN
Net Inland Availability,AVIATIONGASOLENENETINLANDAVAILABILITY,UN
Bunkers,AVIATIONGASOLENEBUNKERS,UN
Production,BAGASSEPRODUCTION,UN
Consumption By Industry & Construction,BAGASSECONSUMPTIONBYINDUSTRYCONSTRUCTION,UN
Consumption By Other Industries And Construction,BAGASSECONSUMPTIONBYOTHERINDUSTRIESANDCONSTRUCTION,UN
