Currency,Source,to USD,to GBP,to EUR
Australian Dollar (AUD),BOE,XUDLADD,XUDLADS,
Canadian Dollar (CAD),BOE,XUDLCDD,XUDLCDS,
Chinese Yuan (CNY),BOE,XUDLBK73,XUDLBK89,
Czech Koruna (CZK),BOE,XUDLBK27,XUDLBK25,XUDLBK26
Danish Krone (DKK),BOE,XUDLDKD,XUDLDKS,XUDLBK76
Hong Kong Dollar (HKD),BOE,XUDLHDD,XUDLHDS,
Hungarian Forint (HUF),BOE,XUDLBK35,XUDLBK33,XUDLBK34
Indian Rupee (INR),BOE,XUDLBK64,XUDLBK97,
Israeli Shekel (NIS),BOE,XUDLBK65,XUDLBK78,
Japanese Yen (JPY),BOE,XUDLJYD,XUDLJYS,XUDLBK63
Lithuanian Litas (LTL),BOE,XUDLBK38,XUDLBK36,XUDLBK37
Malaysian Ringgit (MYR) ,BOE,XUDLBK66,XUDLBK83,
New Zealand Dollar (NZD),BOE,XUDLNDD,XUDLNDS,
Norwegian Krone (NOK),BOE,XUDLNKD,XUDLNKS,
Polish Zloty (PLN),BOE,XUDLBK49,XUDLBK47,XUDLBK48
Pound Sterling (GBP),BOE,XUDLGBD,XUDLGBG,XUDLSER
Russian Ruble (RUB),BOE,XUDLBK69,XUDLBK85,
Saudi Riyal (SAR),BOE,XUDLSRD,XUDLSRS,
Singapore Dollar (SGD),BOE,XUDLSGD,XUDLSGS,
South African Rand (ZAR),BOE,XUDLZRD,XUDLZRS,
South Korean Won (KRW),BOE,XUDLBK74,XUDLBK93,
Swedish Krona (SEK),BOE,XUDLSKD,XUDLSKS,
Swiss Franc (CHF),BOE,XUDLSFD,XUDLSFS,XUDLBK68
New Taiwan Dollar (TWD),BOE,XUDLTWD,XUDLTWS,
Thai Baht (THB),BOE,XUDLBK72,XUDLBK87,
Turkish Lira (TRY),BOE,XUDLBK75,XUDLBK95,
Austrian Schilling (ATS),BOE,XUDLASD,XUDLASS,
Belgian Franc (BEF),BOE,XUDLBFD,XUDLBFS,
Cyprus Pound (CYP),BOE,XUDLBK24,XUDLBK22,XUDLBK23
Deutschemark (DEM),BOE,XUDLDMD,XUDLDMS,
Estonian Kroon (EEK),BOE,XUDLBK32,XUDLBK28,XUDLBK29
French Franc (FRF),BOE,XUDLFFD,XUDLFFS,
Greek Drachma (GRD),BOE,XUDLGDD,XUDLGDS,
Irish Pound (IEP),BOE,XUDLIPD,XUDLIPS,
Italian Lire (ITL),BOE,XUDLILD,XUDLILS,
Finnish Markka (FIM),BOE,XUDLFMD,XUDLFMS,
Maltese Lira (MTL),BOE,XUDLBK46,XUDLBK44,XUDLBK45
Netherlands Guilder (NLG),BOE,XUDLNGD,XUDLNGS,
Portuguese Escudo (PTE),BOE,XUDLPED,XUDLPES,
